# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=1726536242
# chain_id=3
# iter=2012
# warmup=1006
# save_warmup=1
# thin=1
# refresh=201
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./norm_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu
-30.075,0.290508,1.74166,1,1,0,30.5744,-0.356763
-29.7374,0.984831,0.503346,3,7,0,30.4748,0.155466
-30.5061,0.925905,0.815225,2,3,0,30.5422,-0.423578
-31.1349,0.890305,1.13563,2,3,0,31.1385,0.367588
-31.1349,0.00102309,1.44438,1,1,0,31.6701,0.367588
-31.3352,0.996238,0.215579,2,3,0,31.4412,0.39
-30.0136,1,0.355938,2,3,0,31.2684,0.210523
-29.3071,0.906578,0.588851,1,3,0,30.928,-0.150158
-29.5555,0.928965,0.776283,1,1,0,29.5564,-0.245566
-29.6328,0.985688,1.07439,2,3,0,29.683,-0.26609
-29.6328,0.000916605,1.68932,1,1,0,29.882,-0.26609
-29.4601,0.998439,0.271175,1,3,0,29.713,-0.216368
-29.2603,0.993272,0.440281,1,3,0,29.5857,-0.113749
-29.7955,0.905442,0.702055,2,3,0,30.0346,-0.303537
-30.9932,0.612549,0.911862,1,1,0,31.1493,-0.486441
-29.739,0.766267,0.610049,1,3,0,34.0277,0.155824
-29.6477,0.973224,0.578658,2,3,0,30.1501,0.13437
-29.3989,1,0.870599,2,3,0,29.5926,0.0586642
-29.33,1,1.38288,1,1,0,29.4478,0.0276409
-30.6219,0.0481463,2.1844,1,1,0,32.3639,-0.439486
-29.9736,0.995385,0.427919,2,3,0,30.7747,-0.33867
-29.7066,1,0.670074,1,1,0,29.9623,-0.283884
-29.4471,0.697542,1.05424,2,3,0,30.1666,0.0764846
-29.3068,1,0.861159,1,1,0,29.4088,0.0145646
-29.3068,0.02111,1.34585,1,1,0,30.3117,0.0145646
-29.2391,0.991149,0.261142,3,9,0,29.7503,-0.068297
-29.4624,0.958829,0.401137,1,3,0,29.9574,-0.217136
-29.3832,1,0.57295,1,1,0,29.4551,-0.187735
-30.8501,0.565628,0.888447,1,1,0,30.8561,-0.468991
-30.1245,1,0.555388,1,1,0,30.7453,-0.365211
-29.7966,1,0.857214,1,1,0,30.1694,-0.303778
-29.7966,0.916667,1.31697,1,3,0,29.8477,-0.303778
-29.7966,0.126007,1.69816,1,1,0,31.1707,-0.303778
-29.366,0.998194,0.436029,3,7,0,29.8926,0.0448991
-29.2443,0.998608,0.665197,1,3,0,29.3584,-0.0447893
-29.2443,0.793393,1.01127,1,1,0,29.4757,-0.0447893
-29.2408,0.617807,1.01403,2,3,0,30.0748,-0.0807394
-29.2392,1,0.715952,1,3,0,29.2404,-0.071853
-29.2392,0.352223,1.08411,1,1,0,30.0215,-0.071853
-29.6845,0.913038,0.45396,1,3,0,30.4169,0.143274
-29.5052,1,0.57811,1,1,0,29.662,0.0953804
-29.2796,1,0.870897,2,3,0,29.4243,-0.0040633
-29.2919,0.98976,1.30683,1,1,0,29.3299,0.00491803
-29.5745,0.600399,1.91499,1,1,0,29.9945,0.115395
-29.3,1,1.31784,1,1,0,29.3478,-0.145789
-29.3,0.00748413,1.96235,1,1,0,30.0071,-0.145789
-30.0061,0.958207,0.435395,2,5,0,30.0074,-0.344599
-29.938,1,0.599459,1,1,0,30.0971,-0.332032
-29.6002,1,0.890849,1,1,0,29.9179,-0.257713
-29.6002,0.225859,1.31916,1,1,0,30.6287,-0.257713
-30.1328,0.963457,0.453908,2,3,0,30.248,-0.366601
-29.9797,1,0.627307,1,1,0,30.2054,-0.339791
-31.8458,0.45544,0.925426,1,1,0,32.0643,-0.57815
-31.3952,1,0.495069,1,1,0,31.9141,-0.531943
-29.2411,1,0.728577,1,3,0,31.2442,-0.082049
-29.2411,0.218048,1.06868,1,1,0,30.4392,-0.082049
-29.8073,0.90845,0.3726,2,7,0,31.5808,0.170609
-29.7685,1,0.46217,1,1,0,29.8449,0.162327
-30.5471,0.839447,0.675856,1,1,0,30.5578,0.293858
-31.4121,0.793729,0.736674,1,1,0,31.6075,0.398322
-29.3018,1,0.738859,2,3,0,31.2265,-0.146928
-29.5391,0.620622,1.07332,2,3,0,30.013,0.105445
-29.5958,0.782473,0.788501,2,3,0,30.8592,0.121103
-29.2405,0.996226,0.774775,1,3,0,29.5585,-0.0798637
-29.2396,1,1.11269,1,1,0,29.2404,-0.0753452
-29.2396,0.0188419,1.60408,1,1,0,29.8334,-0.0753452
-29.686,0.919924,0.409525,2,5,0,30.7132,0.143645
-29.2618,0.940185,0.513473,1,3,0,30.435,-0.11543
-29.2442,0.988987,0.665832,2,3,0,29.3465,-0.0450098
-30.5692,0.697679,0.938095,1,3,0,30.5988,-0.432343
-29.7274,1,0.795249,1,1,0,30.363,-0.288642
-29.5347,1,1.13819,1,1,0,29.8169,-0.23961
-29.5347,2.90652e-10,1.62466,1,1,0,31.6034,-0.23961
-29.6452,0.998662,0.415904,3,7,0,29.6458,-0.269192
-29.472,1,0.592891,1,1,0,29.6215,-0.220308
-29.2479,0.900485,0.844914,2,3,0,29.8789,-0.0974341
-29.689,0.799854,1.01431,1,1,0,29.6942,-0.279777
-29.636,0.987838,1.02573,2,3,0,29.868,-0.266895
-29.636,0.00166487,1.42375,1,1,0,30.6212,-0.266895
-29.4678,0.999589,0.376317,2,3,0,29.6614,-0.218932
-29.4777,0.998621,0.533316,1,1,0,29.5063,-0.222156
-29.3173,0.955373,0.752741,2,3,0,29.8145,-0.15614
-29.5145,0.909902,0.986374,1,1,0,29.5491,-0.233634
-29.2447,1,1.19649,1,1,0,29.3542,-0.0914337
-29.2447,2.49595e-06,1.68184,1,1,0,31.0598,-0.0914337
-29.9393,0.884844,0.455158,1,3,0,30.7962,-0.332265
-29.6175,0.842957,0.530175,2,3,0,31.9457,-0.262211
-29.8705,0.959529,0.576088,1,1,0,29.8803,-0.318934
-29.6979,1,0.756421,1,1,0,29.9187,-0.281872
-29.6362,1,1.05872,1,1,0,29.886,-0.266944
-29.6362,0.136751,1.47852,1,1,0,30.7862,-0.266944
-29.8996,0.966597,0.511943,1,1,0,29.901,-0.324658
-29.3216,0.9975,0.67764,1,3,0,29.7966,-0.158523
-29.3216,0.823828,0.940783,1,1,0,29.5942,-0.158523
-29.5103,0.913398,0.987565,1,1,0,29.5472,-0.232367
-29.5103,0.0780416,1.1952,1,1,0,31.2098,-0.232367
-29.2751,0.990217,0.383586,1,3,0,29.7186,-0.127752
-29.3388,0.996754,0.525135,3,7,0,29.339,0.0321027
